,Brown Dwarf,Constellation,Declination,Distance,Mass,Radius
0,SDSS J000013.54+255418.6 [de],Pegasus,25° 54′ 18″,46.1,48,0.99
1,2MASS J08283419-1309198,,,,,
2,2MASS J00040288-6410358,Tucana,−64° 10′ 35.8″,192,19,1.63
3,LHS 102BC,Phoenix,−40° 44′ 5.8″,,,
4,2MASS J00242463-0158201,Pisces,−1° 58′ 20.1″,37.7,79,1.09
5,2MASS J00250365+4759191AB,Cassiopeia,47° 59′ 19.1″,143,,
6,2MASS J00274197+0503417,Pisces,5° 3′ 41.7″,236,31,1.44
7,2MASS J00275592+2219328,Andromeda,22° 19′ 32.8″,46.9,,
8,2MASSW J0030300-145033,Cetus,−14° 50′ 33.3″,87.2,54,0.98
9,2MASS J00332386-1521309 [de],Cetus,−15° 21′ ″,131,29,1.43
10,2MASS J00345157+0523050,Pisces,5° 23′ 5″,31,42,0.94
11,2MASS 0036+1821,Pisces,18° 21′ 10.4″,28.6,42,0.94
12,2MASSW J0045214+163445,Pisces,16° 34′ 44.6″,57,23,1.62
13,WISEP J004701.06+680352.1 [fr],Cassiopeia,68° 3′ 54.3″,40,12,1.3
14,2MASS J00501994-3322402 [de],Sculptor,−33° 22′ 40.2″,34,40,0.94
15,2MASS J00034227-2822410,Sculptor,−28° 22′ 42″,,,
16,2MASS J00584253-0651239 [de],Cetus,−6° 51′ 23.9″,96,29,1.43
17,CFBDS J005910.90–011401.3,Cetus,−1° 14′ 1.3″,30,23,
18,2MASSI J0103320+193536,Pisces,19° ′ 35″,70,52,0.98
19,SDSSp J010752.33+004156.1 [de],Cetus,−0° 41′ 56.3″,51,52,0.98
20,2MASSI J0117474-340325 [de],Sculptor,−34° 3′ 25.8″,163,20,1.62
21,2MASS J01415823-4633574 [de],Phoenix,−46° 33′ 57.4″,130,20,1.61
22,SDSS J015141.69+124429.6,,12° 44′ 30″,70,47,0.97
23,DENIS-P J020529.0−115925A,Cetus,−11° 59′ 29.67″,65,,
24,DENIS-P J020529.0−115925B,Cetus,−11° 59′ 29.67″,65,,
25,DENIS-P J020529.0−115925C,Cetus,−11° 59′ 29.67″,65,,
26,SDSS J020742.48+000056.2 [de],Cetus,−0° 0′ 56.4″,111,47,0.97
27,2MASS J02103857-3015313,,−30° 15′ 31.3″,101,15,1.53
28,2MASS J02340093-6442068,,−64° 42′ 6.8″,155,20,1.62
29,2MASS J02411151-0326587 [de],Cetus,−3° 26′ 58.7″,152,27,1.41
30,2MASS J02431371−2453298,Fornax,−24° 53′ 29.8″,35,33,0.99
31,LP 771-21,,−16° 51′ 21.6″,53,78,1.08
32,2MASS J02511327+0047364,,−0° 47′ 36.4″,,,
33,Teegarden's star,Aries,+16° 52′ 53.2″,12.578,80,1.27
34,2MASS J02535980+3206373,,32° 6′ 37.3″,184,65,1.9
35,WISE J0254+0223,Cetus,2° 23′ 59.1″,24,65,1.9
36,DEN 0255-4700,Eridanus,−47° 0′ 50.9″,16.2,80,0.97
37,2MASS J03185403-3421292 [de],Fornax,−34° 21′ 29.2″,45,49,0.97
38,2MASS J03205965+1854233,,18° 54′ 23.3″,47,88,1.15
39,2MASS J03231002-4631237,,−46° 31′ 23.7″,192,23,1.66
40,SDSS J032553.17+042540.1,,4° 25′ 40.6″,59,45,0.95
41,2MASS J03264225-2102057 [de],Eridanus,−21° 2′ 5.7″,80,18,1.3
42,2MASS J03284265+2302051 [de],Taurus,23° 2′ 5.1″,98,54,0.98
43,2MASS J03341218-4953322,,−49° 53′ 32.2″,27.0,73,1.04
44,LP 944-20,Fornax,−35° 25′ 44″,20.9,73,1.43
45,2MASP J0345432+254023,,25° 40′ 23.3″,88,74,1.05
46,Teide 1,Taurus,+24° 22′ 31″,380,55,3.78
47,2MASS J03510004-0052452,,−0° 52′ 45.2″,48,102,1.27
48,2MASS J03552337+1133437,Taurus,11° 33′ 43.7″,29.8,20,1.32
49,DENIS-P J035726.9-441730 [de],Horologium,−44° 17′ 30.5″,130,,
50,2MASS J04151954−0935066,Eridanus,−9° 35′ 6.6″,18.6,30,0.95
51,SDSSp J042348.57-041403.5 [de],Eridanus,−4° 14′ 3.5″,50,,
52,2MASS J04285096-2253227 [de],Eridanus,−22° 53′ 22.7″,85,80,1.09
53,2MASS J04351612-1606574,,−16° 6′ 57.5″,34,100,1.26
54,2MASS J04362788-4114465,,−41° 14′ 46.5″,142,39,1.97
55,2MASS J04390101-2353083 [de],Eridanus,−23° 53′ 8.3″,29.5,48,0.97
56,2MASS J04414489+2301513,,23° 1′ 58.07″,470,19,
57,2MASS J04433764+0002040,,−0° 2′ 5.1″,82,22,1.78
58,2MASS J04455387-3048204 [de],Caelum,−30° 48′ 20.4″,42,64,1.00
59,2MASS J04510093-3402150 [de],Caelum,−34° 2′ 15″,69,72,1.04
60,2MASS J05002100+0330501 [de],Orion,3° 30′ 50.1″,44,64,1.00
61,2MASS J05012406-0010452 [de],Orion,−0° 10′ 45.2″,64,21,1.38
62,2MASS J05160945-0445499 [de],Orion,−4° 45′ 49.9″,73,47,0.97
63,2MASS J0523−1403,Lepus,−14° 3′ 2.2″,40,68,1.01
64,2MASS 0532+8246,Camelopardalis,82° 46′ 46.5″,81,83,
65,SDSS J053951.99-005902.0,,−0° 59′ 1.9″,41.62,61,1.01
66,2MASS J05591914-1404488 [de],Lepus,−14° 4′ 48.8″,34,,
67,LSR 0602+3910 [de],Auriga,39° 10′ 59.2″,34.6,28,1.41
68,2MASS J06085283-2753583,,−27° 53′ 58.3″,102,38,1.51
69,WISEP J061135.13-041024.0A,,−4° 10′ 24″,69,65,
70,WISEP J061135.13-041024.0B,,−4° 10′ 24″,69,53,
71,2MASS J06244595-4521548 [de],Puppis,−45° 21′ 54.8″,39,56,0.99
72,2MASS J06411840-4322329 [de],Puppis,−43° 22′ 32.9″,65,67,1.01
73,DENIS-P J0652197-253450 [de],Canis Major,−25° 34′ 50.5″,51,75,1.05
74,2MASS J07003664+3157266 [de],Gemini,31° 57′ 26.6″,40,,
75,2MASS J07075327-4900503,,−49° 0′ 50.3″,60,72,1.03
76,UGPS J072227.51-054031.2,Monoceros,−05° 40′ 38.4″,13.4,26,0.98
77,2MASSI J0727182+171001 [de],Gemini,17° 10′ 1.2″,29.6,41,0.94
78,2MASS J07290002-3954043 [de],Puppis,−39° 54′ 4.4″,25.8,37,0.94
79,SDSS J074201.41+205520.5 [de],Gemini,20° 55′ 19.8″,49,43,0.94
80,2MASS J0746425+200032 [fr],Gemini,20° 0′ 32.1″,49.6,,
81,DENIS-P J0751164-253043 [de],Puppis,−25° 30′ 43.2″,55,71,1.03
82,2MASS J07522390+1612157,,16° 12′ 15.7″,60,68,2.01
83,DENIS J081730.0-615520,Carina,−61° 55′ 15.8″,16.1,44,0.94
84,DENIS J082303.1−491201A,Vela,−49° 12′ 1.3″,67,44,
85,DENIS J082303.1−491201B,Vela,−49° 12′ 1.3″,67,28,
86,2MASS J08251968+2115521 [de],Cancer,21° 15′ 52.1″,35,52,0.98
87,SDSSp J083008.12+482847.4 [de],Lynx,48° 28′ 48.2″,43,48,0.99
88,LHS 2021,,9° 47′ 15.4″,55,88,1.15
89,SDSS J083048.80+012831.1 [de],Hydra,1° 28′ 31.1″,77,46,0.96
90,2MASSI J0835425-081923 [de],Hydra,−8° 19′ 23.7″,23.53,62,1.00
91,2MASSI J0847287-153237 [de],Hydra,−15° 32′ 37.2″,43,64,1.00
92,2MASS J08533619-0329321,,−3° 29′ 32.1″,27.6,77,1.07
93,2MASSI J0859254-194926 [de],Pyxis,−19° 49′ 26.8″,50,50,0.98
94,2MASSW J0920122+351742 [de],Lynx,35° 17′ 42.9″,95,,
95,2MASSI J0937347+293142,Leo,29° 31′ 40.9″,20.0,42,0.94
96,2MASS 0939−2448,Antlia,−24° 48′ 27.9″,17.4,32,0.95
97,2MASS J09490860-1545485 [de],Hydra,−15° 45′ 48.5″,59,49,0.96
98,2MASS J10073369-4555147,,−45° 55′ 14.7″,46,44,0.94
99,2MASSI J1010148-040649 [de],Sextans,−4° 6′ 49.9″,55,51,0.98
100,2MASSI J1017075+130839 [de],Leo,13° 8′ 39.8″,108,,
101,SDSS J102109.69-030420.1,,−3° 4′ 19.7″,95,,
102,2MASS J10224821+5825453 [de],Ursa Major,58° 25′ 45.3″,60,27,1.41
103,2MASSW J1036530-344138 [de],Antlia,−34° 41′ 38″,53,49,0.97
104,2MASS J1047538+212423 [de],Leo,21° 24′ 23.4″,34.4,42,0.94
105,DEN 1048-3956,Antlia,−39° 56′ 6.2″,13.15,77,1.07
106,Luhman 16B,Vela,−53° 19′ 10″,6.516,43,1.02
107,Luhman 16A,Vela,−53° 19′ 10″,6.516,40,1.01
108,DENIS-P J1058.7−1548,Crater,−15° 48′ 17.2″,49,64,1.00
109,TWA 28,,−34° 30′ 35.5″,180,36,2.39
110,Cha 110913-773444,Chamaeleon,–77° 34′ 45″,163,8,1.8
111,OTS 44,Chamaeleon,–76° 32′ 13″,554,15,
112,SDSS J111010.01+011613.1,,1° 16′ 13″,63,9,1.24
113,2MASS J11145133−2618235,Hydra,−26° 18′ 23.5″,18.2,33,0.96
114,TWA 26,,−31° 59′ 21.5″,137,30,2.20
115,2MASSW J1146345+223053,,22° 30′ 52.7″,89,,
116,2MASS J11544223-3400390 [de],Hydra,−34° 0′ 39″,129,37,1.50
117,2MASSW J1155395-372735 [de],Centaurus,−37° 27′ 35″,31,64,1.00
118,TWA 27A,,−39° 32′ 54″,,,
119,TWA 27B,,−39° 32′ 54.4″,,,
120,2MASS J12074836-3900043,,−39° 0′ 4.4″,217,17,1.71
121,2MASSI J1217110-031113 [de],Virgo,−3° 11′ 13.1″,36,42,0.94
122,2MASS J12255432-2739466,,−27° 39′ 46.6″,43,,
123,DENIS-P J1228.2-1547,Corvus,−15° 47′ 34.2″,66,,
124,2M 1237+6526,Draco,65° 26′ 14.8″,45.6,41,0.94
125,2MASSW J1239272+551537 [de],Ursa Major,55° 15′ 37.1″,119,,
126,TWA 29,,−44° 29′ 7.7″,262,25,2.00
127,SDSSp J125453.90-012247.4 [de],Virgo,−1° 22′ 47.4″,38,47,0.98
128,Kelu-1A,Hydra,−25° 41′ 6″,61,63,0.98
129,Kelu-1B,Hydra,−25° 41′ 6″,61,58,0.98
130,2MASS J13204427+0409045,,4° 9′ 4.5″,101,67,1.01
131,SDSSp J132629.82-003831.5 [de],Virgo,−0° 38′ 31.4″,65,51,0.97
132,SDSSp J134646.45-003150.4 [de],Virgo,−0° 31′ 50.1″,48,44,0.94
133,2MASS J13595510-4034582,,−40° 34′ 58.2″,51,63,1.00
134,ULAS J141623.94+134836.3,,13° 48′ 36.3″,29.7,32,0.96
135,SDSS J141659.78+500626.4 [de],Boötes,50° 6′ 25.8″,149,59,0.99
136,DENIS-P J142527.97-365023.4 [de],Centaurus,−36° 50′ 22.9″,38,21,1.32
137,LHS 2924,Boötes,+33° 10′ 39.1″,38.5,76,1.06
138,2MASS J14392837+1929150,,19° 29′ 14.9″,47,72,1.03
139,LSPM J1440+1339,,13° 39′ 23″,72,92,1.19
140,2MASS J14482563+1031590 [de],Boötes,10° 31′ 59″,47,59,0.99
141,CFBDSIR 1458+10A,Boötes,+10° 13′ 43″,104,11.1,1.5
142,CFBDSIR 1458+10B,Boötes,+10° 13′ 43″,104,9,1.3
143,TVLM 513-46546,Boötes,+22° 50′ 2″,35.1,75,1.05
144,2MASS 1503+2525,Boötes,25° 25′ 19.6″,20.7,44,0.94
145,CFBDS J150411+102717,,10° 27′ 18.4″,71,44,0.94
146,2MASSW J1506544+132106 [de],Boötes,13° 21′ 6″,46,69,1.02
147,2MASS 1507−1627,Libra,−16° 27′ 38.6″,23.9,60,0.99
148,TVLM 868-110639,,−2° 41′ 7.8″,53,79,1.08
149,SDSS J151114.66+060742.9 [de],Serpens,6° 7′ 43.1″,89,,
150,2MASSW J1515008+484742 [de],Boötes,48° 47′ 41.6″,34,57,0.99
151,2MASSI J1526140+204341 [de],Serpens,20° 43′ 41.4″,67,54,0.98
152,DENIS-P J153941.96-052042.4 [de],Libra,−5° 20′ 42.8″,51,63,1.00
153,2MASS J15462718-3325111 [de],Lupus,−33° 25′ 11.2″,37,44,0.94
154,2MASSW J1552591+294849 [de],Corona Borealis,29° 48′ 48.5″,68,30,1.43
155,2MASSW J1555157-095605 [de],Libra,−9° 56′ 5.5″,44,71,1.03
156,2MASS J16150413+1340079 [de],Hercules,13° 40′ 7.9″,48,42,0.94
157,SDSSp J162414.37+002915.6 [de],Serpens,0° 29′ 15.8″,36,43,0.94
158,2MASS J16262034+3925190 [de],Hercules,39° 25′ 19″,110,71,1.03
159,2MASSW J1632291+190441 [de],Hercules,19° 4′ 40.7″,50,49,0.97
160,WISEPA J164715.59+563208.2,,56° 32′ 8.2″,28,41,0.94
161,LSPM J1658+7027 [de],Draco,70° 27′ 1.5″,60,73,1.04
162,2MASSI J1726000+153819,,15° 38′ 19″,114,24,1.40
163,2MASSW J1728114+394859,,39° 48′ 59.3″,79,,
164,SDSSp J175032.96+175903.9,,17° 59′ 4.2″,90,47,0.97
165,2MASS J18283572-4849046,,−48° 49′ 4.6″,39,45,0.95
166,LSR J1835+3259,Lyra,32° 59′ 54.5″,18.5,77,1.07
167,2MASSW J1841086+311727,,31° 17′ 27.9″,138,67,1.01
168,2MASS J18432213+4040209,,40° 40′ 20.9″,46,96,1.22
169,2MASS J20004841-7523070,,−75° 23′ 7″,105,25,1.88
170,SDSS J204749.61-071818.3,,−7° 18′ 18.2″,65,46,0.96
171,2MASSI J2057540-025230,,−2° 52′ 30.2″,47,70,1.02
172,2MASSW J2101154+175658,,17° 56′ 58.6″,108,,
173,2MASSI J2104149-103736,,−10° 37′ 36.9″,62,69,1.02
174,PSO J318.5−22,Capricornus,−22° 51′ 35.8″,80,6.5,1.53
175,HB 2124-4228,,−42° 15′ 18.3″,113,94,1.21
176,2MASS J21392676+0220226,Aquarius,2° 20′ 22.7″,32.1,46,0.96
177,2MASS J21481628+4003593,,40° 3′ 59.4″,26.3,55,0.99
178,2MASS J14112131-2119503,,−21° 19′ 50″,,,
179,2MASSW J2206450-421721,,−42° 17′ 20.8″,93,22,1.33
180,2MASSW J2208136+292121,,29° 21′ 21.5″,154,27,1.41
181,2MASSW J2224438-015852,,−1° 58′ 52.1″,38,61,0.99
182,2MASS J22282889-4310262,Grus,−43° 10′ 26.2″,35,42,0.94
183,2MASS J22373255+3922398,,39° 22′ 39.8″,64,73,1.04
184,2MASSW J2244316+204343,,20° 43′ 43.3″,56,12,1.29
